cate,JobTitle,CompanyName,Location,Url,p10_salary,p50_salary,p90_salary,LocationStates
software,Software Engineers I,Hadiamondstar Software Solutions LLC,"Fairfax, VA","https://www.glassdoor.com/job-listing/software-engineers-i-hadiamondstar-software-solutions-JV_IC1130359_KO0,20_KE21,53.htm?jl=1009193216757",94632,111196,130659,VA
software,Junior Software Developer,"STI Technologies, Inc ","Fairborn, OH","https://www.glassdoor.com/job-listing/junior-software-developer-solutions-through-innovative-technologies-inc-JV_IC1145941_KO0,25_KE26,71.htm?jl=1009220983557",36729,46626,59190,OH
software,Software Developer,Vexcel Imaging GmbH,"Jacksonville, FL","https://www.glassdoor.com/job-listing/software-developer-vexcel-JV_IC1154093_KO0,18_KE19,25.htm?jl=1009205036006",65350,82223,103453,FL
software,Junior Software Developer,nuArch,"New York, NY","https://www.glassdoor.com/job-listing/junior-software-developer-nuarch-JV_IC1132348_KO0,25_KE26,32.htm?jl=1008943727709",60000,70000,80000,NY
software,Software Engineer (Frontend),Aerostrat,United States,"https://www.glassdoor.com/job-listing/software-engineer-frontend-aerostrat-JV_KO0,26_KE27,36.htm?jl=1009211360932",80000,110000,140000,United States
software,Python Engineer,,Remote,"https://www.glassdoor.com/job-listing/python-engineer-nvenue-inc-JV_KO0,15_KE16,26.htm?jl=1009196906471",85000,100000,115000,Remote
software,Software Engineer,Muncy Industries,"Turbotville, PA","https://www.glassdoor.com/job-listing/software-engineer-muncy-industries-JV_IC1153396_KO0,17_KE18,34.htm?jl=1009216553151",55000,60000,65000,PA
software,Junior Software Engineer,MiTAC International Corporation,"Newark, CA","https://www.glassdoor.com/job-listing/junior-software-engineer-mitac-information-systems-corp-JV_IC1147377_KO0,24_KE25,55.htm?jl=1009061045667",65000,75000,85000,CA
software,Software Engineer (Remote),"The Home Depot, Inc.","Atlanta, GA","https://www.glassdoor.com/job-listing/software-engineer-remote-home-depot-thd-JV_IC1155583_KO0,24_KE25,39.htm?jl=1009210653572",70589,95011,127882,GA
software,Software Developer,,Remote,"https://www.glassdoor.com/job-listing/software-developer-manager-tools-JV_KO0,18_KE19,32.htm?jl=1009200442407",65000,82500,100000,Remote
software,Junior Software Engineer,,New Jersey,"https://www.glassdoor.com/job-listing/junior-software-engineer-bistro-iberia-JV_KO0,24_KE25,38.htm?jl=1009205258095",70000,77500,85000,N/A
software,Software Engineer,ServiceNow,"Atlanta, GA","https://www.glassdoor.com/job-listing/software-engineer-servicenow-JV_IC1155583_KO0,17_KE18,28.htm?jl=1009222149307",74989,85219,96844,GA
software,Software Developer,"SegPay, Corp. ","Deerfield Beach, FL","https://www.glassdoor.com/job-listing/software-developer-segpay-JV_IC1166111_KO0,18_KE19,25.htm?jl=1009197305510",66474,89012,119191,FL
software,Software Engineer,ServiceNow,"Santa Clara, CA","https://www.glassdoor.com/job-listing/software-engineer-servicenow-JV_IC1147439_KO0,17_KE18,28.htm?jl=1009222700679",121600,155000,188400,CA
software,Python Developer,Effone Technolgoies,United States,"https://www.glassdoor.com/job-listing/python-developer-effone-software-inc-JV_KO0,16_KE17,36.htm?jl=1009205580864",45,47.5,50,United States
software,Junior Engineer,,Remote,"https://www.glassdoor.com/job-listing/junior-engineer-bcvs-JV_KO0,15_KE16,20.htm?jl=1009221716817",24.660095,27.179808,29.7,Remote
software,Associate Software Engineer,CVS Caremark Corporation,"Irving, TX","https://www.glassdoor.com/job-listing/associate-software-engineer-cvs-health-JV_IC1140006_KO0,27_KE28,38.htm?jl=1009222995475",61800,92700,123600,TX
software,Junior Software Engineer,"John H. Northrop & Associates, Inc","Patuxent River, MD","https://www.glassdoor.com/job-listing/junior-software-engineer-john-h-northrop-associates-JV_IC1153746_KO0,24_KE25,51.htm?jl=1009206787163",64122,81140,102675,MD
software,New College Grad Software Engineer - Front-End,"Navan, Inc","Palo Alto, CA","https://www.glassdoor.com/job-listing/new-college-grad-software-engineer-front-end-navan-JV_IC1147434_KO0,44_KE45,50.htm?jl=1009101933832",78750,111875,145000,CA
software,IT Specialist I,"Articulate Global, Inc.",Remote,"https://www.glassdoor.com/job-listing/it-specialist-i-articulate-JV_KO0,15_KE16,26.htm?jl=1009207941008",55800,69700,83600,Remote
software,Software QA Tester,"Data2Logistics, LLC",United States,"https://www.glassdoor.com/job-listing/software-qa-tester-data2logistics-JV_KO0,18_KE19,33.htm?jl=1009219946654",27.760096,31.495192,35.22981,United States
software,Junior Software Engineers,JD Software Inc.,"Salem, MA","https://www.glassdoor.com/job-listing/junior-software-engineers-jd-software-inc-JV_IC1154677_KO0,25_KE26,41.htm?jl=1005711310316",88995,113850,145646,MA
software,Software Developer,"Cantata Health, LLC",United States,"https://www.glassdoor.com/job-listing/software-developer-cantata-health-llc-JV_KO0,18_KE19,37.htm?jl=1009216455670",70000,75000,80000,United States
software,Junior C# Full Stack Developer / Software Developer I,,Remote,"https://www.glassdoor.com/job-listing/junior-c-full-stack-developer-software-developer-i-starwood-media-JV_KO0,50_KE51,65.htm?jl=1009206185840",50000,62500,75000,Remote
software,Software Developer,"Astiva Health, Inc.","Orange, CA","https://www.glassdoor.com/job-listing/software-developer-astiva-health-inc-JV_IC1146843_KO0,18_KE19,36.htm?jl=1009210096287",90000,100000,110000,CA
software,Junior Full Stack Developer,,"Ridgefield, CT","https://www.glassdoor.com/job-listing/junior-full-stack-developer-evolytix-JV_IC1148349_KO0,27_KE28,36.htm?jl=1009087767322",60000,65000,70000,CT
software,Software Developers (Jr. Level),"24X7 Systems, Inc.","Alpharetta, GA","https://www.glassdoor.com/job-listing/software-developers-jr-level-24x7systems-JV_IC1155582_KO0,28_KE29,40.htm?jl=1009215247465",86603,101828,119729,GA
software,Software Developer,,"Alpharetta, GA","https://www.glassdoor.com/job-listing/software-developer-practical-labs-JV_IC1155582_KO0,18_KE19,33.htm?jl=1009190188942",70000,97500,125000,GA
software,Junior Software Developer,"Elevate HR, Inc","Union, NY","https://www.glassdoor.com/job-listing/junior-software-developer-elevate-hr-JV_IC3735050_KO0,25_KE26,36.htm?jl=1008702771841",72500,73750,75000,NY
software,Entry Level Software Engineer (2024 CS Grads),,"New York, NY","https://www.glassdoor.com/job-listing/entry-level-software-engineer-2024-cs-grads-rare-karma-JV_IC1132348_KO0,43_KE44,54.htm?jl=1009188799719",65000,75000,85000,NY
software,"Software Developer, Junior",Booz Allen Hamilton Inc.,"Aberdeen Proving Ground, MD","https://www.glassdoor.com/job-listing/software-developer-junior-booz-allen-JV_IC1153521_KO0,25_KE26,36.htm?jl=1009122755210",51600,78300,105000,MD
software,Junior Software Engineer,Uipathtek,"Charlotte, NC","https://www.glassdoor.com/job-listing/junior-software-engineer-uipathtek-JV_IC1138644_KO0,24_KE25,34.htm?jl=1008686150576",63691,75757,90109,NC
software,Software Developer,"AeroBase Group, Inc","Saint Augustine, FL","https://www.glassdoor.com/job-listing/software-developer-aerobase-group-inc-JV_IC1154105_KO0,18_KE19,37.htm?jl=1009195900147",66811,82766,102531,FL
software,Junior Software Developer,DBDriven.net LLC,"Fredericksburg, VA","https://www.glassdoor.com/job-listing/junior-software-developer-dbdriven-net-JV_IC1130363_KO0,25_KE26,38.htm?jl=1007257138238",67802,81663,98357,VA
software,Software Engineer,Microsoft Corporation,"Redmond, WA","https://www.glassdoor.com/job-listing/software-engineer-microsoft-JV_IC1150499_KO0,17_KE18,27.htm?jl=1009218452761",94300,138450,182600,WA
software,Software Engineer,,United States,"https://www.glassdoor.com/job-listing/software-engineer-aiden-technology-JV_KO0,17_KE18,34.htm?jl=1009217687862",90000,90000,90000,United States
software,Junior Software Developer,"Leidos Holdings, Inc.","Colorado Springs, CO","https://www.glassdoor.com/job-listing/junior-software-developer-leidos-JV_IC1148136_KO0,25_KE26,32.htm?jl=1009185577090",65000,91250,117500,CO
software,Software Engineer - (Remote),"Certificial, LLC",North Carolina,"https://www.glassdoor.com/job-listing/software-engineer-remote-certificial-JV_KO0,24_KE25,36.htm?jl=1009205998399",80000,95000,110000,N/A
software,Software Developers (Junior Positions),GPS IT Solutions LLC,"Tuscaloosa, AL","https://www.glassdoor.com/job-listing/software-developers-junior-positions-gps-it-solutions-JV_IC1127776_KO0,36_KE37,53.htm?jl=1005685503346",48766,60686,75519,AL
software,Software Engineer,Stargazr UG,Remote,"https://www.glassdoor.com/job-listing/software-engineer-stargazr-ug-JV_KO0,17_KE18,29.htm?jl=1009203895038",35000,45000,55000,Remote
software,Software Developer,Bahrain Airport Services,Remote,"https://www.glassdoor.com/job-listing/software-developer-bahrain-airport-services-JV_KO0,18_KE19,43.htm?jl=1009185930273",73974,81530,89086,Remote
software,Junior Software Engineer,"Leidos Holdings, Inc.","Fort Meade, MD","https://www.glassdoor.com/job-listing/junior-software-engineer-leidos-JV_IC1165756_KO0,24_KE25,31.htm?jl=1009204069207",65000,91250,117500,MD
software,Software Engineer,,"Hendersonville, TN","https://www.glassdoor.com/job-listing/software-engineer-c3-rentals-JV_IC1144525_KO0,17_KE18,28.htm?jl=1009216558473",80000,80000,80000,TN
software,Software Engineer,Skillsoft Corporation,"Rochester, NY","https://www.glassdoor.com/job-listing/software-engineer-skillsoft-JV_IC1132765_KO0,17_KE18,27.htm?jl=1009211132969",88000,99000,110000,NY
software,Software Engineer - Remote,Prime Therapeutics LLC,United States,"https://www.glassdoor.com/job-listing/software-engineer-remote-prime-therapeutics-JV_KO0,24_KE25,43.htm?jl=1009222532097",66880,86940,107000,United States
software,Junior Software Engineer,"Support Systems Associates, Inc.","Warner Robins, GA","https://www.glassdoor.com/job-listing/junior-software-engineer-support-systems-associates-inc-JV_IC1155961_KO0,24_KE25,55.htm?jl=1009146422719",68000,72000,76000,GA
software,Entry Level Python Developer,Fiable Consulting Inc.,Remote,"https://www.glassdoor.com/job-listing/entry-level-python-developer-fiable-consulting-JV_KO0,28_KE29,46.htm?jl=1009161716604",66497,73290,80082,Remote
software,Junior Software Engineer,Carr Astronautics Corporation ,"Greenbelt, MD","https://www.glassdoor.com/job-listing/junior-software-engineer-carr-astronautics-corporation-JV_IC1153857_KO0,24_KE25,54.htm?jl=1007837485995",85063,104150,127520,MD
software,Software Engineer,"Cargill, Incorporated","Wayzata, MN","https://www.glassdoor.com/job-listing/software-engineer-cargill-JV_IC1142595_KO0,17_KE18,25.htm?jl=1009209037484",75201,88810,104882,MN
